#{"t_start": 1668550789.767045, "env_id": "nnMeta-v40"}
r,l,t
58646.0,45,5.48438
58825.0,46,5.493627
61071.0,47,5.503512
62532.0,48,5.513142
1179.0,1,5.524169
3330.0,2,5.534301
4145.0,3,5.544264
4908.0,4,5.554065
4993.0,5,5.563578
5509.0,6,5.573388
6328.0,7,5.583269
7725.0,8,5.593236
8601.0,9,5.603132
10227.0,10,5.612988
10355.0,11,5.623495
10753.0,12,5.633061
10942.0,13,5.64295
11321.0,14,5.652853
13307.0,15,5.663512
14258.0,16,5.673274
15514.0,17,5.682567
16620.0,18,5.692717
16998.0,19,5.702432
18801.0,20,5.71282
20736.0,21,5.722725
22680.0,22,5.731524
23014.0,23,5.741466
24471.0,24,5.750975
24590.0,25,5.761767
26312.0,26,5.771852
27464.0,27,5.781817
29198.0,28,5.791863
30557.0,29,5.801287
30696.0,30,5.81101
31065.0,31,5.82063
31296.0,32,5.830139
33071.0,33,5.840087
33612.0,34,5.849826
35142.0,35,5.859728
36776.0,36,5.869679
37100.0,37,5.880009
39185.0,38,5.890167
40661.0,39,5.899855
40871.0,40,5.90966
43137.0,41,5.919424
45393.0,42,5.930838
46961.0,43,5.939839
47345.0,44,5.948693
47366.0,45,5.957583
48891.0,46,5.965987
49530.0,47,5.975811
51537.0,48,5.985421
1119.0,1,5.9953
2983.0,2,6.005782
4477.0,3,6.015024
6781.0,4,6.024961
7736.0,5,6.034373
8507.0,6,6.044452
9374.0,7,6.054963
10270.0,8,6.064655
11961.0,9,6.074484
13990.0,10,6.084087
14537.0,11,6.093186
14993.0,12,6.101657
15402.0,13,6.110342
15791.0,14,6.120712
16017.0,15,6.13038
17797.0,16,6.140034
18831.0,17,6.150063
19731.0,18,6.159952
21530.0,19,6.168328
22644.0,20,6.176839
24340.0,21,6.185538
26554.0,22,6.194375
27028.0,23,6.202936
27146.0,24,6.211732
27679.0,25,6.224917
27874.0,26,6.234375
29535.0,27,6.243218
31813.0,28,6.251775
33830.0,29,6.260538
34201.0,30,6.268992
34697.0,31,6.277488
35109.0,32,6.286313
36010.0,33,6.294966
37622.0,34,6.303809
38610.0,35,6.312403
40106.0,36,6.321131
40976.0,37,6.329622
41781.0,38,6.338406
43901.0,39,6.347554
44400.0,40,6.358085
46564.0,41,6.367974
47733.0,42,6.377822
49047.0,43,6.389687
49712.0,44,6.399238
51462.0,45,6.407857
53302.0,46,6.416186
54311.0,47,6.424895
56446.0,48,6.43346
1525.0,1,6.441895
1593.0,2,6.450645
3648.0,3,6.459531
5282.0,4,6.469194
7350.0,5,6.47953
7477.0,6,6.489244
9757.0,7,6.497824
9968.0,8,6.506731
11363.0,9,6.515189
11931.0,10,6.523973
12708.0,11,6.532383
13702.0,12,6.541459
15017.0,13,6.549876
15925.0,14,6.558559
17977.0,15,6.566915
18757.0,16,6.575512
19544.0,17,6.584055
20720.0,18,6.592744
21348.0,19,6.601194
22358.0,20,6.609667
23152.0,21,6.618026
23199.0,22,6.626579
24292.0,23,6.634823
24620.0,24,6.643211
25651.0,25,6.652003
25894.0,26,6.660713
27715.0,27,6.67097
28644.0,28,6.68006
29634.0,29,6.690363
30200.0,30,6.69998
32132.0,31,6.709754
33139.0,32,6.720168
33745.0,33,6.728662
34857.0,34,6.737385
37079.0,35,6.74596
38996.0,36,6.754907
40466.0,37,6.764395
40473.0,38,6.77444
41889.0,39,6.784332
43750.0,40,6.793481
43826.0,41,6.802013
46077.0,42,6.810788
47111.0,43,6.819186
47724.0,44,6.829118
47945.0,45,6.839701
50209.0,46,6.849274
51919.0,47,6.858956
53507.0,48,6.867813
2194.0,1,6.876562
2501.0,2,6.886227
3182.0,3,6.894863
3907.0,4,6.903516
5769.0,5,6.912176
6237.0,6,6.921161
7807.0,7,6.929689
8755.0,8,6.93841
9116.0,9,6.947118
10631.0,10,6.955716
12181.0,11,6.964481
12959.0,12,6.973475
14296.0,13,6.982026
