#{"t_start": 1668550789.767045, "env_id": "nnMeta-v40"}
r,l,t
6249.0,4,32.656288
8079.0,5,32.665283
8081.0,6,32.674487
10310.0,7,32.683257
11062.0,8,32.692066
13004.0,9,32.703664
14497.0,10,32.713547
14932.0,11,32.724079
15436.0,12,32.734702
17659.0,13,32.744842
19364.0,14,32.756425
20454.0,15,32.765285
22085.0,16,32.774192
23100.0,17,32.782829
25063.0,18,32.79185
27106.0,19,32.801051
29301.0,20,32.80985
31572.0,21,32.819193
33488.0,22,32.827863
34120.0,23,32.837326
34320.0,24,32.846016
35677.0,25,32.855216
36369.0,26,32.864263
37128.0,27,32.873277
38002.0,28,32.882296
40165.0,29,32.890953
41645.0,30,32.901208
43497.0,31,32.911512
44064.0,32,32.920577
45756.0,33,32.929322
46475.0,34,32.938148
48419.0,35,32.946451
49817.0,36,32.955053
51605.0,37,32.963495
51754.0,38,32.97223
52589.0,39,32.980866
53816.0,40,32.989647
54058.0,41,32.998182
55191.0,42,33.006962
55788.0,43,33.015411
57429.0,44,33.023961
57627.0,45,33.032434
57820.0,46,33.041031
59368.0,47,33.04938
60038.0,48,33.058006
2078.0,1,33.066485
2164.0,2,33.075044
3467.0,3,33.083546
4163.0,4,33.092678
4683.0,5,33.101269
6531.0,6,33.11006
6554.0,7,33.11891
8335.0,8,33.127674
10194.0,9,33.136284
10277.0,10,33.144472
10285.0,11,33.153134
11601.0,12,33.161608
11727.0,13,33.170216
13565.0,14,33.178712
13575.0,15,33.187471
14788.0,16,33.197472
16912.0,17,33.207979
19072.0,18,33.218448
19176.0,19,33.226988
21391.0,20,33.23591
22774.0,21,33.244471
24004.0,22,33.253324
24143.0,23,33.261945
25289.0,24,33.270919
27260.0,25,33.27943
27843.0,26,33.288252
28474.0,27,33.296952
29313.0,28,33.310422
30107.0,29,33.320977
30115.0,30,33.329691
390.0,1,33.338626
1590.0,2,33.346996
3851.0,3,33.355616
4499.0,4,33.364345
5832.0,5,33.37332
7911.0,6,33.381861
7941.0,7,33.390805
9265.0,8,33.399179
10993.0,9,33.407897
12695.0,10,33.41668
14638.0,11,33.425375
15089.0,12,33.433863
15747.0,13,33.44269
16366.0,14,33.451383
16876.0,15,33.459848
19087.0,16,33.469136
20598.0,17,33.477912
21794.0,18,33.487244
23729.0,19,33.496857
24514.0,20,33.505693
25350.0,21,33.514184
27328.0,22,33.522922
27832.0,23,33.531472
28865.0,24,33.539987
29118.0,25,33.549078
30217.0,26,33.557904
30370.0,27,33.566329
32059.0,28,33.57492
32666.0,29,33.583402
34976.0,30,33.59223
35925.0,31,33.601697
36153.0,32,33.610192
36577.0,33,33.619701
38617.0,34,33.62938
40067.0,35,33.638981
41016.0,36,33.647532
1326.0,1,33.656224
2662.0,2,33.664696
3561.0,3,33.673331
5193.0,4,33.681854
7190.0,5,33.690621
7807.0,6,33.69906
8694.0,7,33.707563
10875.0,8,33.716037
11430.0,9,33.727019
12140.0,10,33.735979
12227.0,11,33.745329
13825.0,12,33.755747
14146.0,13,33.765623
16435.0,14,33.774929
nan,15,33.78343
nan,16,33.79238
nan,17,33.80122
nan,18,33.809822
nan,19,33.818983
nan,20,33.828238
nan,21,33.838429
nan,22,33.847949
nan,23,33.857667
nan,24,33.867125
nan,25,33.876039
nan,26,33.884747
nan,27,33.893215
nan,28,33.901989
nan,29,33.910398
nan,30,33.919194
nan,31,33.927579
nan,32,33.936752
nan,33,33.946446
nan,34,33.955169
nan,35,33.963781
nan,36,33.972538
nan,37,33.98081
nan,38,33.989379
nan,39,33.997829
nan,40,34.0065
nan,41,34.015055
nan,42,34.023866
nan,43,34.032323
nan,44,34.041018
nan,45,34.049671
nan,46,34.05845
nan,47,34.067045
nan,48,34.07626
354.0,1,34.086894
2013.0,2,34.095618
2501.0,3,34.104485
3044.0,4,34.112749
3385.0,5,34.121629
4063.0,6,34.130343
5734.0,7,34.138945
5817.0,8,34.147347
7863.0,9,34.155943
8611.0,10,34.164541
9064.0,11,34.173439
9115.0,12,34.182081
10444.0,13,34.190735
11441.0,14,34.199277
12896.0,15,34.207798
13006.0,16,34.216205
13637.0,17,34.224908
14388.0,18,34.233163
14411.0,19,34.241689
16388.0,20,34.250092
16720.0,21,34.258856
16765.0,22,34.267497
18295.0,23,34.275836
20237.0,24,34.284784
20777.0,25,34.293273
21399.0,26,34.30234
23586.0,27,34.31054
25823.0,28,34.319338
26263.0,29,34.327876
27028.0,30,34.337104
27372.0,31,34.345712
29122.0,32,34.354625
30777.0,33,34.363201
32952.0,34,34.371995
34638.0,35,34.380747
36583.0,36,34.390456
38080.0,37,34.399756
39616.0,38,34.409212
39900.0,39,34.41893
41664.0,40,34.427857
42133.0,41,34.436763
43795.0,42,34.446633
44503.0,43,34.45698
46223.0,44,34.468616
48534.0,45,34.480181
49721.0,46,34.489629
51218.0,47,34.50225
2003.0,1,34.522227
4067.0,2,34.533087
5530.0,3,34.547762
6183.0,4,34.561878
7855.0,5,34.572906
8706.0,6,34.581881
9052.0,7,34.591189
9133.0,8,34.600076
10203.0,9,34.609299
12284.0,10,34.619389
12496.0,11,34.628047
13583.0,12,34.637488
14471.0,13,34.645973
16763.0,14,34.655711
18827.0,15,34.664549
781.0,1,34.674008
939.0,2,34.682855
1889.0,3,34.691986
2512.0,4,34.70127
2530.0,5,34.710574
4838.0,6,34.720343
5148.0,7,34.730141
6345.0,8,34.742299
8327.0,9,34.754644
8720.0,10,34.766015
10704.0,11,34.776488
10737.0,12,34.78872
11887.0,13,34.80051
13282.0,14,34.811397
15069.0,15,34.822546
16116.0,16,34.831634
16446.0,17,34.840751
17740.0,18,34.84969
18159.0,19,34.859037
19508.0,20,34.868192
19888.0,21,34.876607
20329.0,22,34.885457
20709.0,23,34.893855
1571.0,1,34.902758
2520.0,2,34.910875
4010.0,3,34.919601
4342.0,4,34.928258
6300.0,5,34.937111
7505.0,6,34.945947
9231.0,7,34.954613
11213.0,8,34.9614
12973.0,9,34.970236
12977.0,10,34.978728
15147.0,11,34.988104
17273.0,12,34.996742
18600.0,13,35.005476
19697.0,14,35.013802
21791.0,15,35.022388
22456.0,16,35.030882
24226.0,17,35.039618
25411.0,18,35.047186
25549.0,19,35.056476
27627.0,20,35.0655
29327.0,21,35.074029
30456.0,22,35.082471
31023.0,23,35.090907
33177.0,24,35.099318
34179.0,25,35.107901
34264.0,26,35.116673
36206.0,27,35.125474
37355.0,28,35.133994
38176.0,29,35.142588
39968.0,30,35.151183
41749.0,31,35.159984
42025.0,32,35.168966
42257.0,33,35.175964
43356.0,34,35.184892
43646.0,35,35.193454
44393.0,36,35.202882
45811.0,37,35.211437
47655.0,38,35.220714
47969.0,39,35.229161
48428.0,40,35.23821
48495.0,41,35.246699
49160.0,42,35.255652
1918.0,1,35.264308
2109.0,2,35.272884
3931.0,3,35.281206
4782.0,4,35.29033
6878.0,5,35.299099
7932.0,6,35.308091
10053.0,7,35.316913
10893.0,8,35.32632
11764.0,9,35.335566
11984.0,10,35.344342
13385.0,11,35.353538
14402.0,12,35.362376
16224.0,13,35.371537
1348.0,1,35.380224
3354.0,2,35.389263
5663.0,3,35.397796
7465.0,4,35.406409
9491.0,5,35.415253
10066.0,6,35.424581
11612.0,7,35.433375
12491.0,8,35.442282
13536.0,9,35.451253
14611.0,10,35.459933
15991.0,11,35.46938
17057.0,12,35.478398
19141.0,13,35.487666
20822.0,14,35.49675
21652.0,15,35.505397
21996.0,16,35.512427
22288.0,17,35.521762
23174.0,18,35.530777
24164.0,19,35.539859
26102.0,20,35.54988
28200.0,21,35.560361
nan,22,35.570752
nan,23,35.580689
nan,24,35.590817
nan,25,35.601249
nan,26,35.611311
nan,27,35.621703
nan,28,35.631587
nan,29,35.64154
nan,30,35.651397
nan,31,35.660361
nan,32,35.669581
nan,33,35.678016
nan,34,35.686929
nan,35,35.695319
nan,36,35.704209
nan,37,35.712962
nan,38,35.720265
nan,39,35.728879
nan,40,35.737628
nan,41,35.746337
nan,42,35.75522
nan,43,35.763678
nan,44,35.77273
nan,45,35.783148
nan,46,35.79289
nan,47,35.802587
nan,48,35.810987
279.0,1,35.820117
389.0,2,35.829175
1220.0,3,35.838175
2585.0,4,35.846765
3921.0,5,35.855849
5037.0,6,35.864408
6336.0,7,35.873499
7934.0,8,35.881434
8957.0,9,35.890044
9803.0,10,35.898986
11022.0,11,35.907598
12502.0,12,35.916684
14257.0,13,35.926552
14817.0,14,35.935785
15693.0,15,35.945252
15965.0,16,35.95612
16032.0,17,35.966559
16162.0,18,35.977421
17978.0,19,35.988342
18960.0,20,35.998204
19270.0,21,36.008542
20463.0,22,36.019703
20751.0,23,36.029944
22232.0,24,36.039634
24469.0,25,36.047976
26286.0,26,36.057117
28062.0,27,36.065983
30003.0,28,36.074751
32295.0,29,36.083366
33332.0,30,36.092481
33560.0,31,36.101466
35555.0,32,36.11025
37338.0,33,36.11915
37674.0,34,36.128023
39259.0,35,36.136753
40038.0,36,36.145322
42133.0,37,36.155431
42370.0,38,36.165447
42725.0,39,36.175567
44545.0,40,36.186057
44978.0,41,36.19632
45063.0,42,36.206369
45396.0,43,36.216201
45629.0,44,36.226634
47457.0,45,36.237253
48105.0,46,36.246995
49217.0,47,36.257208
50155.0,48,36.267005
175.0,1,36.277014
1576.0,2,36.287103
3283.0,3,36.296245
4760.0,4,36.304985
6267.0,5,36.31356
8438.0,6,36.322528
8617.0,7,36.331287
9906.0,8,36.340122
10015.0,9,36.348732
12116.0,10,36.357869
12354.0,11,36.366527
12865.0,12,36.375462
13057.0,13,36.384522
14624.0,14,36.393151
15447.0,15,36.402256
15702.0,16,36.410886
16992.0,17,36.419987
17640.0,18,36.428642
19651.0,19,36.437679
20448.0,20,36.446209
22544.0,21,36.455043
24346.0,22,36.463607
25424.0,23,36.472355
25694.0,24,36.480588
27660.0,25,36.489637
27974.0,26,36.498493
29629.0,27,36.507035
30737.0,28,36.515451
31099.0,29,36.52432
31190.0,30,36.534153
32834.0,31,36.543448
35108.0,32,36.553163
35108.0,33,36.562771
36720.0,34,36.572267
37728.0,35,36.584096
38535.0,36,36.595319
39054.0,37,36.604894
39123.0,38,36.61481
41216.0,39,36.625085
41249.0,40,36.636866
42353.0,41,36.646936
44357.0,42,36.658084
44596.0,43,36.668413
44972.0,44,36.678271
45585.0,45,36.688746
46919.0,46,36.698659
47120.0,47,36.708646
47506.0,48,36.718826
1183.0,1,36.728506
3164.0,2,36.738375
4305.0,3,36.748676
6559.0,4,36.759092
8710.0,5,36.769544
9659.0,6,36.77986
10171.0,7,36.790382
11625.0,8,36.800899
13255.0,9,36.810807
13425.0,10,36.821429
13763.0,11,36.831113
14362.0,12,36.841379
14724.0,13,36.851813
16348.0,14,36.861939
18642.0,15,36.872503
19078.0,16,36.88196
19288.0,17,36.891087
20910.0,18,36.899795
23037.0,19,36.908836
24909.0,20,36.917322
25669.0,21,36.926063
26716.0,22,36.935399
28901.0,23,36.943794
30472.0,24,36.952773
31255.0,25,36.96167
32064.0,26,36.971927
34016.0,27,36.986447
34208.0,28,36.995169
35840.0,29,37.00417
35967.0,30,37.013016
36427.0,31,37.022128
38725.0,32,37.031257
41006.0,33,37.041602
41011.0,34,37.054494
42281.0,35,37.064582
44250.0,36,37.07463
45884.0,37,37.08477
47752.0,38,37.094012
48541.0,39,37.103119
49976.0,40,37.112084
51293.0,41,37.120831
53271.0,42,37.129674
54686.0,43,37.137967
56794.0,44,37.14644
58602.0,45,37.155319
59446.0,46,37.164107
59938.0,47,37.173101
60735.0,48,37.181615
1715.0,1,37.190643
4031.0,2,37.199323
4519.0,3,37.208269
6200.0,4,37.223198
6235.0,5,37.234128
7759.0,6,37.245434
9678.0,7,37.256706
9747.0,8,37.26924
10271.0,9,37.27829
12236.0,10,37.287436
13717.0,11,37.296198
15889.0,12,37.304816
15931.0,13,37.3133
17845.0,14,37.321955
18291.0,15,37.33053
18861.0,16,37.33928
20217.0,17,37.347601
22294.0,18,37.356313
22656.0,19,37.365022
24390.0,20,37.373706
25294.0,21,37.38222
26748.0,22,37.390913
27346.0,23,37.399447
28829.0,24,37.408611
30460.0,25,37.41756
31631.0,26,37.426151
31796.0,27,37.43502
33003.0,28,37.443547
33847.0,29,37.45265
35979.0,30,37.461368
38224.0,31,37.470289
38566.0,32,37.479092
39232.0,33,37.487974
39501.0,34,37.4965
39996.0,35,37.505383
42196.0,36,37.514
43481.0,37,37.522817
44794.0,38,37.531778
45294.0,39,37.541691
46301.0,40,37.552159
48279.0,41,37.562206
48521.0,42,37.572219
50350.0,43,37.580736
51198.0,44,37.589878
51834.0,45,37.599289
53184.0,46,37.609137
53719.0,47,37.618899
54537.0,48,37.628608
1277.0,1,37.638551
1554.0,2,37.648183
3881.0,3,37.658149
3979.0,4,37.668321
5785.0,5,37.676772
7180.0,6,37.685491
7585.0,7,37.694208
8708.0,8,37.70284
9191.0,9,37.71156
9194.0,10,37.720729
11245.0,11,37.729396
12647.0,12,37.739224
12674.0,13,37.748229
13325.0,14,37.757018
13766.0,15,37.76541
14774.0,16,37.773889
16377.0,17,37.782511
17330.0,18,37.791133
18718.0,19,37.799385
20785.0,20,37.808071
21034.0,21,37.816866
22366.0,22,37.825597
23876.0,23,37.834517
25745.0,24,37.843554
27101.0,25,37.852233
27830.0,26,37.860744
27976.0,27,37.869807
28289.0,28,37.878385
30105.0,29,37.887382
31117.0,30,37.895967
33442.0,31,37.904859
35657.0,32,37.913099
35772.0,33,37.923154
36377.0,34,37.932192
38418.0,35,37.941917
38929.0,36,37.953461
40426.0,37,37.963433
42697.0,38,37.97343
44765.0,39,37.983391
45329.0,40,37.993532
47110.0,41,38.004354
48990.0,42,38.014518
50300.0,43,38.024456
52429.0,44,38.032825
52512.0,45,38.041868
53403.0,46,38.051125
54404.0,47,38.059855
54888.0,48,38.068958
1318.0,1,38.077723
1668.0,2,38.087959
2480.0,3,38.097976
4536.0,4,38.108739
5357.0,5,38.117891
5736.0,6,38.126358
6807.0,7,38.135311
9008.0,8,38.143711
11079.0,9,38.152583
12905.0,10,38.161374
14802.0,11,38.170666
15670.0,12,38.179262
16472.0,13,38.188272
17676.0,14,38.197007
18028.0,15,38.205743
19770.0,16,38.214243
21465.0,17,38.222935
21849.0,18,38.231364
24029.0,19,38.240174
24794.0,20,38.248667
26055.0,21,38.257349
27970.0,22,38.265759
29975.0,23,38.276151
31814.0,24,38.288649
32723.0,25,38.298523
33858.0,26,38.310408
35538.0,27,38.319888
35852.0,28,38.328571
36343.0,29,38.337602
38618.0,30,38.346321
39566.0,31,38.355182
41437.0,32,38.36384
42143.0,33,38.372665
42390.0,34,38.381312
43426.0,35,38.390221
43950.0,36,38.398984
44993.0,37,38.407708
46151.0,38,38.41628
46330.0,39,38.425148
46826.0,40,38.433871
48836.0,41,38.442718
49437.0,42,38.451661
49704.0,43,38.46038
51847.0,44,38.469246
51904.0,45,38.477929
51966.0,46,38.486728
53219.0,47,38.495482
53502.0,48,38.504237
1861.0,1,38.512886
2474.0,2,38.521583
3551.0,3,38.530289
5871.0,4,38.538998
7173.0,5,38.547538
8392.0,6,38.556644
9180.0,7,38.56531
10572.0,8,38.574096
10979.0,9,38.58252
11154.0,10,38.591175
13288.0,11,38.599611
13408.0,12,38.608197
15472.0,13,38.616639
15558.0,14,38.625633
15824.0,15,38.634713
16618.0,16,38.643287
17996.0,17,38.652171
18407.0,18,38.661072
19091.0,19,38.669828
20880.0,20,38.678247
21483.0,21,38.687195
23146.0,22,38.695713
24144.0,23,38.704803
26118.0,24,38.715697
27019.0,25,38.724666
27353.0,26,38.735129
28595.0,27,38.744838
28767.0,28,38.754668
29608.0,29,38.763366
29841.0,30,38.771973
31145.0,31,38.780594
31652.0,32,38.789578
33444.0,33,38.798297
33580.0,34,38.807202
33831.0,35,38.815898
35085.0,36,38.82481
36582.0,37,38.833288
37402.0,38,38.842122
38606.0,39,38.851012
38952.0,40,38.859941
39689.0,41,38.869197
40647.0,42,38.878888
42366.0,43,38.888044
44621.0,44,38.896696
46039.0,45,38.905503
47197.0,46,38.914062
49295.0,47,38.922819
49784.0,48,38.931513
1354.0,1,38.940608
2454.0,2,38.949239
4533.0,3,38.958415
5852.0,4,38.967054
7433.0,5,38.975855
7887.0,6,38.984866
9412.0,7,38.993856
9746.0,8,39.002828
11326.0,9,39.011188
12263.0,10,39.019955
14166.0,11,39.028713
14410.0,12,39.037744
16254.0,13,39.046485
17902.0,14,39.055408
19456.0,15,39.064066
21002.0,16,39.072818
22001.0,17,39.08182
22636.0,18,39.090758
22890.0,19,39.099713
24728.0,20,39.108891
26298.0,21,39.118163
28575.0,22,39.12687
29968.0,23,39.137079
30277.0,24,39.145565
32222.0,25,39.154338
32835.0,26,39.166583
34309.0,27,39.177153
34570.0,28,39.187041
36498.0,29,39.195823
36755.0,30,39.20454
37490.0,31,39.213119
39751.0,32,39.222027
41628.0,33,39.230729
43909.0,34,39.239338
44927.0,35,39.24781
46987.0,36,39.256509
48908.0,37,39.265335
48981.0,38,39.27404
49837.0,39,39.282478
51744.0,40,39.29122
53966.0,41,39.299866
55890.0,42,39.308906
57357.0,43,39.3179
57613.0,44,39.326446
57934.0,45,39.335312
58565.0,46,39.343953
59190.0,47,39.352938
60975.0,48,39.361505
283.0,1,39.37056
2470.0,2,39.379079
4431.0,3,39.387843
6742.0,4,39.396424
8451.0,5,39.405263
8454.0,6,39.413786
8643.0,7,39.4228
9666.0,8,39.431323
10065.0,9,39.440503
11799.0,10,39.449228
14071.0,11,39.458283
14390.0,12,39.466982
14877.0,13,39.475534
16288.0,14,39.484391
17065.0,15,39.492834
17457.0,16,39.502277
19465.0,17,39.511343
20185.0,18,39.520986
20219.0,19,39.529839
20405.0,20,39.539032
21388.0,21,39.547828
23492.0,22,39.556829
23596.0,23,39.565704
24401.0,24,39.574696
26043.0,25,39.584188
27891.0,26,39.592876
29965.0,27,39.602198
31290.0,28,39.610845
33292.0,29,39.619921
35311.0,30,39.628646
36457.0,31,39.637455
38482.0,32,39.646049
38596.0,33,39.655489
39916.0,34,39.664442
40768.0,35,39.67368
41763.0,36,39.683024
43262.0,37,39.692513
43502.0,38,39.701618
43515.0,39,39.710343
43520.0,40,39.71916
45832.0,41,39.727799
46724.0,42,39.73675
48073.0,43,39.745369
50209.0,44,39.75436
50261.0,45,39.763057
52367.0,46,39.771942
53820.0,47,39.780475
55599.0,48,39.789187
331.0,1,39.798023
396.0,2,39.806712
467.0,3,39.81539
956.0,4,39.823882
2634.0,5,39.832264
4089.0,6,39.840885
5016.0,7,39.849471
6042.0,8,39.858572
6121.0,9,39.867017
8315.0,10,39.876125
10190.0,11,39.885576
11969.0,12,39.894619
13329.0,13,39.903328
14920.0,14,39.912001
16470.0,15,39.920942
16539.0,16,39.929746
18858.0,17,39.938623
20985.0,18,39.947023
21290.0,19,39.955808
22611.0,20,39.964671
24535.0,21,39.973593
25963.0,22,39.982093
26972.0,23,39.990695
27704.0,24,39.999341
29174.0,25,40.008186
31404.0,26,40.018551
32591.0,27,40.027306
32867.0,28,40.036745
33777.0,29,40.047184
34311.0,30,40.057753
36107.0,31,40.068291
38146.0,32,40.078086
39706.0,33,40.089352
41041.0,34,40.098163
41051.0,35,40.107059
41611.0,36,40.115627
42250.0,37,40.124503
43385.0,38,40.13302
44051.0,39,40.14193
45890.0,40,40.150859
46454.0,41,40.159575
48209.0,42,40.168641
48540.0,43,40.177266
773.0,1,40.18637
2232.0,2,40.194981
3511.0,3,40.203918
3742.0,4,40.212568
5893.0,5,40.221283
7675.0,6,40.230128
8314.0,7,40.238931
9212.0,8,40.247631
11381.0,9,40.25633
11872.0,10,40.264942
12231.0,11,40.273452
13643.0,12,40.281913
14064.0,13,40.290919
15179.0,14,40.299408
15329.0,15,40.308535
16175.0,16,40.317548
17722.0,17,40.326107
19855.0,18,40.335264
21615.0,19,40.343923
22347.0,20,40.35273
24668.0,21,40.362292
25794.0,22,40.371634
27284.0,23,40.380362
29126.0,24,40.389576
30172.0,25,40.399756
30214.0,26,40.410412
30814.0,27,40.42101
32809.0,28,40.431208
34361.0,29,40.441366
35568.0,30,40.452097
36317.0,31,40.462326
36543.0,32,40.472101
37431.0,33,40.481527
39371.0,34,40.49052
39821.0,35,40.499129
39905.0,36,40.507851
41232.0,37,40.516575
43247.0,38,40.525394
44758.0,39,40.534129
45092.0,40,40.542652
46384.0,41,40.551463
46762.0,42,40.560257
48458.0,43,40.56943
49348.0,44,40.577968
50918.0,45,40.586799
51447.0,46,40.595399
51675.0,47,40.604745
53593.0,48,40.613341
1155.0,1,40.621995
1387.0,2,40.630722
3137.0,3,40.639389
4186.0,4,40.647831
5570.0,5,40.656804
7382.0,6,40.665362
8370.0,7,40.674066
8561.0,8,40.682594
9655.0,9,40.691467
10189.0,10,40.700205
11179.0,11,40.709089
11681.0,12,40.71815
12963.0,13,40.72696
13084.0,14,40.735874
14271.0,15,40.744274
15072.0,16,40.753751
17369.0,17,40.762226
18470.0,18,40.771227
20461.0,19,40.779814
20698.0,20,40.789463
20831.0,21,40.79899
22193.0,22,40.809153
24130.0,23,40.819307
24669.0,24,40.829364
26153.0,25,40.839514
27082.0,26,40.849442
27482.0,27,40.859668
29001.0,28,40.870417
31255.0,29,40.880162
33583.0,30,40.888991
35157.0,31,40.897572
36334.0,32,40.906334
36339.0,33,40.914751
38141.0,34,40.923478
38375.0,35,40.931786
39193.0,36,40.94062
41505.0,37,40.9492
42194.0,38,40.958114
43160.0,39,40.966516
44629.0,40,40.976366
46324.0,41,40.987154
48534.0,42,40.997284
49195.0,43,41.0072
49788.0,44,41.017123
50406.0,45,41.027109
51811.0,46,41.038191
53135.0,47,41.047705
53307.0,48,41.057557
1658.0,1,41.066559
3222.0,2,41.075539
4991.0,3,41.084613
5465.0,4,41.093109
6507.0,5,41.102173
6861.0,6,41.110709
8121.0,7,41.120019
8972.0,8,41.128576
9748.0,9,41.137375
9987.0,10,41.146049
11084.0,11,41.154543
13238.0,12,41.163369
13838.0,13,41.172049
15137.0,14,41.180594
16187.0,15,41.1895
16923.0,16,41.198265
17762.0,17,41.206786
19427.0,18,41.215526
21002.0,19,41.224112
21603.0,20,41.232434
21736.0,21,41.240987
22893.0,22,41.249635
25150.0,23,41.258641
26564.0,24,41.267728
27356.0,25,41.276375
28218.0,26,41.285613
28592.0,27,41.295038
29899.0,28,41.304373
32138.0,29,41.315171
33260.0,30,41.326643
35289.0,31,41.336734
35846.0,32,41.346334
36103.0,33,41.356652
36973.0,34,41.366439
37533.0,35,41.376588
39311.0,36,41.387306
39457.0,37,41.397173
41107.0,38,41.407556
43319.0,39,41.418131
44825.0,40,41.427272
46898.0,41,41.436103
47464.0,42,41.444892
47637.0,43,41.45387
49911.0,44,41.462382
51206.0,45,41.471163
51290.0,46,41.479787
51796.0,47,41.488652
52043.0,48,41.497381
89.0,1,41.506145
2104.0,2,41.514753
3273.0,3,41.523485
3816.0,4,41.532052
4635.0,5,41.540766
5214.0,6,41.549343
5357.0,7,41.558231
5556.0,8,41.566816
6909.0,9,41.575548
7099.0,10,41.584341
9327.0,11,41.592865
11658.0,12,41.601995
11915.0,13,41.61076
13682.0,14,41.619611
14327.0,15,41.628345
15571.0,16,41.637401
16758.0,17,41.646444
18336.0,18,41.655231
19472.0,19,41.663808
19776.0,20,41.672497
20291.0,21,41.6809
21642.0,22,41.689785
23906.0,23,41.698226
25849.0,24,41.707203
27663.0,25,41.715889
29586.0,26,41.724706
31512.0,27,41.733034
31937.0,28,41.74209
32283.0,29,41.750963
34574.0,30,41.759373
35615.0,31,41.768549
36597.0,32,41.777116
37662.0,33,41.786338
39226.0,34,41.796213
39327.0,35,41.806428
39492.0,36,41.820408
40911.0,37,41.830467
43238.0,38,41.84044
44696.0,39,41.850634
45830.0,40,41.8607
47364.0,41,41.871201
48796.0,42,41.880957
49850.0,43,41.891298
51152.0,44,41.901438
52374.0,45,41.910175
53706.0,46,41.919241
54554.0,47,41.92791
55187.0,48,41.93662
1481.0,1,41.945049
1523.0,2,41.9538
2884.0,3,41.962456
3757.0,4,41.971335
4108.0,5,41.979839
5395.0,6,41.988793
5616.0,7,41.997716
6830.0,8,42.006447
7864.0,9,42.015042
9670.0,10,42.023897
11380.0,11,42.032223
13577.0,12,42.040873
13758.0,13,42.049466
15787.0,14,42.058422
17053.0,15,42.067395
18491.0,16,42.076057
19395.0,17,42.085104
20981.0,18,42.093603
22871.0,19,42.102754
23479.0,20,42.111241
24783.0,21,42.120301
25120.0,22,42.128947
25388.0,23,42.137824
25839.0,24,42.146321
27176.0,25,42.155191
27493.0,26,42.164274
28766.0,27,42.173074
30956.0,28,42.181932
31995.0,29,42.191377
33713.0,30,42.201414
35556.0,31,42.211115
36253.0,32,42.221245
37751.0,33,42.230968
38324.0,34,42.241052
39277.0,35,42.251669
40351.0,36,42.261447
42357.0,37,42.271527
44208.0,38,42.281086
44808.0,39,42.291027
45382.0,40,42.299658
46905.0,41,42.308688
47498.0,42,42.317745
48638.0,43,42.326483
50270.0,44,42.335344
52356.0,45,42.34388
53364.0,46,42.353036
55131.0,47,42.361608
55977.0,48,42.370546
1218.0,1,42.406749
2040.0,2,42.415998
2380.0,3,42.425419
4610.0,4,42.437152
5245.0,5,42.44766
7357.0,6,42.45795
9473.0,7,42.468344
10776.0,8,42.478433
12701.0,9,42.488552
13846.0,10,42.499125
16150.0,11,42.508875
17024.0,12,42.517958
18654.0,13,42.52678
19075.0,14,42.535608
19240.0,15,42.544276
20207.0,16,42.553238
20955.0,17,42.562091
22377.0,18,42.571285
23874.0,19,42.580152
25047.0,20,42.588775
26375.0,21,42.597502
28387.0,22,42.606298
30155.0,23,42.614971
30495.0,24,42.623746
1963.0,1,42.632287
2091.0,2,42.641964
2780.0,3,42.65085
4657.0,4,42.659468
6513.0,5,42.66823
7350.0,6,42.67692
8063.0,7,42.685629
9189.0,8,42.694663
11386.0,9,42.703565
11975.0,10,42.71305
12112.0,11,42.723071
13583.0,12,42.731538
14112.0,13,42.740121
14507.0,14,42.748679
16720.0,15,42.757568
18486.0,16,42.766103
19332.0,17,42.775309
19526.0,18,42.784098
19721.0,19,42.79258
19835.0,20,42.80168
20545.0,21,42.810324
22459.0,22,42.819148
23420.0,23,42.827823
24194.0,24,42.836578
26138.0,25,42.844959
27392.0,26,42.853751
27489.0,27,42.862987
28914.0,28,42.871942
30286.0,29,42.880888
31748.0,30,42.890346
32926.0,31,42.900104
33235.0,32,42.910076
34833.0,33,42.919342
36637.0,34,42.928106
38093.0,35,42.937574
38379.0,36,42.946161
40657.0,37,42.955071
41492.0,38,42.963798
42793.0,39,42.972483
44718.0,40,42.980923
44839.0,41,42.989838
46387.0,42,42.998372
48281.0,43,43.007139
50383.0,44,43.01609
51306.0,45,43.025035
51987.0,46,43.033461
52626.0,47,43.042112
53322.0,48,43.050987
1986.0,1,43.059838
2658.0,2,43.068606
4585.0,3,43.077125
5340.0,4,43.085799
5494.0,5,43.094521
7228.0,6,43.103609
7251.0,7,43.111923
9505.0,8,43.120796
11508.0,9,43.12958
13515.0,10,43.138375
15479.0,11,43.146729
16758.0,12,43.155501
18565.0,13,43.16403
20796.0,14,43.172666
21743.0,15,43.181249
22797.0,16,43.190004
22805.0,17,43.198423
24598.0,18,43.207161
25376.0,19,43.215801
25802.0,20,43.224816
27633.0,21,43.233126
29521.0,22,43.242031
31043.0,23,43.250934
31816.0,24,43.259486
33381.0,25,43.268698
34001.0,26,43.277272
35567.0,27,43.286333
36120.0,28,43.295027
36930.0,29,43.304225
39075.0,30,43.313434
40984.0,31,43.323435
43138.0,32,43.333053
43158.0,33,43.342962
45201.0,34,43.353104
47190.0,35,43.362573
47804.0,36,43.372038
48128.0,37,43.380528
48807.0,38,43.389282
50403.0,39,43.397911
50481.0,40,43.406555
